ULAS,imag,e_imag,zmag,e_zmag,Ymag,e_Ymag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,W1mag,e_W1mag,W2mag,e_W2mag,PhType,chi2,SpType,Ref,Simbad,_RA,_DE
J012527.08+122803.5,20.56,0.06,18.68,0.04,17.7,0.02,16.55,0.01,15.86,0.01,15.26,0.01,15,0.04,14.77,0.08,L1     ,5.35,       ,  ,Simbad,21.36283,12.46764
J012621.13+142805.9,21.86,0.17,19.92,0.15,18.99,0.08,17.46,0.04,16.15,0.02,15.11,0.01,14.23,0.03,13.69,0.03,L7p    ,201.99,L2     ,19,Simbad,21.58804,14.46831
J012743.58+135421.3,21.83,0.17,19.09,0.07,17.97,0.03,16.77,0.02,15.91,0.02,15.18,0.01,14.47,0.03,14.14,0.04,L5     ,12.51,L5     ,5,Simbad,21.93158,13.90592
J012756.86+011005.8,21.33,0.1,19.28,0.07,18.23,0.05,17.08,0.03,16.37,0.03,15.89,0.03,     ,     ,     ,     ,L1.5:  ,6.05,       ,  ,Simbad,21.98692,1.16828
J013028.53+154016.7,22.84,0.58,19.75,0.18,18.32,0.04,17.07,0.02,16.23,0.02,15.6,0.02,14.87,0.03,14.49,0.06,L9.5   ,12.71,       ,  ,Simbad,22.61887,15.67131
J013215.42+081406.0,21.16,0.1,19.21,0.08,18.23,0.03,17.3,0.02,16.65,0.02,16.12,0.03,15.87,0.06,15.78,0.16,L0     ,5.49,       ,  ,Simbad,23.06425,8.235
J013243.81+055232.2,20.96,0.09,18.77,0.07,17.76,0.02,16.41,0.01,15.48,0.01,14.75,0.01,14.23,0.03,13.94,0.04,L4.5   ,5.96,L5     ,29,Simbad,23.18254,5.87561
J013307.34+015744.6,21.31,0.09,19.34,0.07,18.56,0.04,17.41,0.03,16.84,0.04,16.32,0.04,16.12,0.06,15.96,0.15,L0     ,6.69,       ,  ,Simbad,23.28058,1.96239
J013334.82+070653.1,21.51,0.13,19.41,0.08,18.66,0.04,17.47,0.03,16.9,0.04,16.29,0.03,15.77,0.05,15.47,0.12,L1.5   ,7.97,       ,  ,Simbad,23.39508,7.11475
J013402.78+050812.8,20.09,0.05,18.21,0.04,17.23,0.02,16.02,0.01,15.25,0.01,14.62,0.01,14.27,0.03,13.98,0.04,L2     ,5.23,L2     ,16,Simbad,23.51158,5.13689
J013444.07+145741.8,20.83,0.08,18.79,0.06,17.76,0.03,16.75,0.02,16.17,0.02,15.63,0.02,15.43,0.04,15.22,0.1,L0     ,9.6,       ,  ,Simbad,23.68362,14.96161
J013525.37+020518.5,21.76,0.12,18.69,0.05,17.55,0.02,16.48,0.02,15.66,0.01,14.99,0.01,14.28,0.03,13.88,0.04,T0p    ,37.88,       ,  ,Simbad,23.85571,2.08847
J013633.19+065500.4,20.94,0.07,18.82,0.05,18,0.03,17.01,0.02,16.31,0.02,15.77,0.02,15.54,0.05,15.26,0.09,L0     ,2.41,       ,  ,Simbad,24.13829,6.91678
J013640.53+013318.1,20.9,0.08,18.91,0.05,18.01,0.03,16.94,0.02,16.31,0.02,15.73,0.02,     ,     ,     ,     ,L0.5:  ,0.25,       ,  ,Simbad,24.16887,1.55503
J013657.50+093347.2,20.42,0.06,16.01,0.02,14.39,0.01,13.25,0.01,12.81,0.01,12.59,0.01,     ,     ,     ,     ,T2.5p: ,92.24,T2.5   ,1,Simbad,24.23958,9.56311
J013744.87+090810.2,24.39,0.69,19.22,0.1,17.66,0.02,16.42,0.01,16.14,0.02,16.01,0.03,15.56,0.04,14.45,0.05,T3     ,15.97,       ,  ,Simbad,24.43696,9.13617
J013937.66+015216.2,21.92,0.17,19.73,0.11,18.88,0.06,17.44,0.03,16.64,0.03,15.92,0.02,15.39,0.04,14.95,0.07,L4     ,5.19,       ,  ,Simbad,24.90692,1.87117
J013958.03+111456.9,21.29,0.11,19.39,0.09,18.44,0.04,17.31,0.02,16.64,0.03,16.05,0.03,15.76,0.05,15.58,0.14,L1     ,1.65,       ,  ,Simbad,24.99179,11.24914
J014016.91+015054.7,23.66,0.82,20.36,0.22,18.41,0.04,17.2,0.02,17.21,0.05,17.31,0.08,     ,     ,     ,     ,T4.5:  ,3.31,       ,  ,Simbad,25.07046,1.84853
J014047.31+141319.0,19.64,0.04,17.63,0.03,16.69,0.01,15.63,0.01,15.04,0.01,14.46,0.01,14.09,0.03,13.82,0.04,L0.5   ,2.75,L0:    ,6,Simbad,25.19712,14.22194
J014126.50+100134.1,21.89,0.3,19.78,0.16,18.42,0.05,17.13,0.02,16.26,0.02,15.52,0.02,14.79,0.03,14.48,0.06,L5.5   ,5.61,       ,  ,Simbad,25.36042,10.02614
J014256.77+000326.9,21.08,0.14,18.98,0.06,17.87,0.03,16.86,0.02,16.25,0.02,15.68,0.02,15.16,0.04,14.92,0.07,L1.5   ,14.59,       ,  ,Simbad,25.73654,0.05747
J014323.92+051049.8,20.79,0.1,18.97,0.07,17.87,0.02,16.48,0.01,15.56,0.01,14.83,0.01,14.17,0.03,13.83,0.04,L5     ,14.61,       ,  ,Simbad,25.84967,5.1805
J014432.09+080307.2,20.89,0.08,19,0.06,18.05,0.03,17.11,0.02,16.54,0.03,16.05,0.03,15.7,0.05,15.07,0.09,L0     ,18.59,       ,  ,Simbad,26.13371,8.052
J014443.72+102526.3,22.39,0.26,19.62,0.11,18.45,0.04,17.31,0.02,16.32,0.03,15.62,0.02,14.89,0.03,14.55,0.06,L8     ,8.19,       ,  ,Simbad,26.18217,10.42397
J014552.70+042014.9,20.72,0.08,18.72,0.06,17.77,0.02,16.68,0.01,16.02,0.02,15.38,0.01,15.09,0.04,14.86,0.07,L1     ,1.69,       ,  ,Simbad,26.46958,4.33747
J014658.13+002132.7,20.41,0.04,18.48,0.04,17.59,0.03,16.46,0.02,15.92,0.02,15.39,0.02,15.19,0.04,14.85,0.06,L0     ,6.27,L0     ,7,Simbad,26.74221,0.35908
J014847.31+103738.0,20.73,0.07,18.76,0.06,17.9,0.02,16.94,0.01,16.21,0.02,15.69,0.02,15.42,0.04,15.25,0.09,L0     ,3.32,       ,  ,Simbad,27.19712,10.62722
J014854.75+062411.3,20.67,0.06,18.67,0.05,17.89,0.03,16.75,0.02,16.12,0.02,15.54,0.02,15.31,0.04,14.95,0.07,L0.5   ,2.93,       ,  ,Simbad,27.22812,6.40314
J014956.31+001647.8,21.06,0.07,19.18,0.08,18.21,0.04,17.18,0.03,16.53,0.03,15.99,0.03,15.67,0.04,15.52,0.12,L0     ,2.29,L0.5   ,10,Simbad,27.48462,0.27994
J015002.85+135237.7,20.81,0.07,18.84,0.06,17.81,0.03,16.65,0.02,15.92,0.02,15.28,0.02,14.95,0.03,14.65,0.05,L2     ,2.54,       ,  ,Simbad,27.51187,13.87714
J015005.18+055618.1,21.12,0.08,19.23,0.08,18.34,0.04,17.42,0.03,16.63,0.03,16.04,0.03,15.85,0.05,15.5,0.13,L0     ,8.23,       ,  ,Simbad,27.52158,5.93836
J015050.13+083716.1,19.83,0.05,17.76,0.03,17,0.01,15.99,0.01,15.3,0.01,14.76,0.01,14.5,0.03,14.27,0.05,L0     ,4.35,       ,  ,Simbad,27.70887,8.62114
J015129.32+113129.5,21.86,0.18,19.1,0.07,18.24,0.03,16.8,0.02,15.74,0.01,14.9,0.01,14.26,0.03,13.97,0.04,L6.5   ,15.84,       ,  ,Simbad,27.87217,11.52486
J015141.01-005156.5,19.29,0.03,17.3,0.04,16.23,0.01,15.02,0.01,14.28,0.01,13.65,0.01,13.14,0.04,12.85,0.04,L3     ,5.06,       ,  ,Simbad,27.92087,-0.86569
J015142.09+124429.3,22.41,0.31,18.9,0.07,17.4,0.02,16.39,0.01,15.6,0.01,15.29,0.01,14.62,0.03,13.93,0.04,T1.5   ,19.93,T1     ,2,Simbad,27.92537,12.74147
J015250.12+043224.2,21.52,0.12,19.54,0.1,18.84,0.05,17.47,0.03,16.61,0.03,15.98,0.03,15.6,0.04,15.27,0.09,L3     ,9.59,       ,  ,Simbad,28.20883,4.54006
J015507.33+030957.7,21.28,0.09,19.38,0.08,18.24,0.04,17.29,0.03,16.59,0.03,16.07,0.03,15.62,0.04,15.31,0.09,L1     ,9,       ,  ,Simbad,28.78054,3.16603
J015551.07-004457.4,20.86,0.06,18.74,0.04,17.95,0.03,16.88,0.02,16.31,0.02,15.76,0.02,15.44,0.04,15.15,0.08,L0     ,2.2,       ,  ,Simbad,28.96279,-0.74928
J015636.96+020512.1,20.9,0.06,18.85,0.05,17.98,0.03,16.88,0.02,16.3,0.02,15.72,0.02,15.46,0.04,15.17,0.09,L0     ,1.79,       ,  ,Simbad,29.154,2.08669
J015737.41+095011.8,20.37,0.06,18.38,0.04,17.45,0.02,16.46,0.01,15.79,0.01,15.27,0.01,14.88,0.03,14.65,0.06,L0.5   ,3.16,       ,  ,Simbad,29.40587,9.83661
J015907.26+091313.6,20.34,0.06,18.35,0.06,17.52,0.02,16.4,0.01,15.68,0.01,15.11,0.01,14.84,0.03,14.54,0.05,L1     ,1.99,       ,  ,Simbad,29.78025,9.22044
J015923.11+154129.6,19.91,0.04,17.87,0.03,16.98,0.01,15.84,0.01,15.16,0.01,14.53,0.01,14.21,0.03,13.94,0.04,L1.5   ,0.75,       ,  ,Simbad,29.84629,15.69156
J020009.99+103734.6,21.54,0.13,19.68,0.11,18.74,0.07,17.41,0.03,16.69,0.02,15.97,0.03,15.65,0.04,15.54,0.11,L2.5   ,8.31,       ,  ,Simbad,30.04162,10.62628
J020022.60+051608.5,22.4,0.35,19.99,0.15,18.82,0.05,17.5,0.03,16.82,0.03,16.27,0.04,15.58,0.04,15.69,0.13,L3     ,19.26,       ,  ,Simbad,30.09417,5.26903
J020048.95+072117.7,20.85,0.09,18.72,0.07,17.74,0.02,16.56,0.01,15.9,0.02,15.3,0.01,14.79,0.03,14.51,0.05,L2     ,6.06,       ,  ,Simbad,30.20396,7.35492
J020205.92+092816.0,21.16,0.14,18.95,0.08,18.13,0.04,16.96,0.02,16.28,0.02,15.79,0.02,15.36,0.04,15.25,0.09,L1     ,5.03,       ,  ,Simbad,30.52467,9.47111
J020503.66+125142.0,20.35,0.05,17.99,0.04,17.02,0.01,15.56,0.01,14.51,0.01,13.64,0.01,12.94,0.02,12.56,0.02,L6.5p  ,34.03,L5     ,22,Simbad,31.26525,12.86167
J020619.10+145222.7,20.97,0.11,18.92,0.06,17.84,0.03,16.89,0.02,16.36,0.03,15.91,0.03,15.53,0.04,15.13,0.07,L0     ,17.46,       ,  ,Simbad,31.57958,14.87297
J020651.30+072314.0,21.02,0.08,19.04,0.06,18.18,0.03,16.99,0.02,16.27,0.02,15.63,0.02,15.27,0.04,14.99,0.07,L2     ,1.49,       ,  ,Simbad,31.71375,7.38722
J020704.14+010229.8,21.09,0.08,19.1,0.06,18.2,0.04,17.02,0.03,16.39,0.03,15.78,0.02,15.57,0.04,15.31,0.09,L1     ,4.25,       ,  ,Simbad,31.76725,1.04161
J020735.73+135554.9,19.4,0.03,17.54,0.03,16.59,0.01,15.37,0.01,14.53,0.01,13.83,0.01,13.49,0.02,13.26,0.03,L2.5   ,13.59,L3     ,2,Simbad,31.89887,13.93192
J020742.90+000056.2,24.14,0.47,19.83,0.12,18.02,0.03,16.73,0.01,16.81,0.04,16.72,0.05,16.3,0.06,15.05,0.07,T4     ,14.72,T4.5   ,3,Simbad,31.92875,0.01561
J020827.53+065427.7,21.34,0.11,19.17,0.08,18.5,0.04,17.48,0.03,16.84,0.03,16.34,0.03,15.94,0.05,15.73,0.13,L0     ,5.68,       ,  ,Simbad,32.11471,6.90769
J020902.33+034645.1,23.17,0.38,19.59,0.1,18.7,0.05,17.34,0.02,16.33,0.02,15.58,0.02,14.91,0.03,14.54,0.05,L6.5   ,7.91,       ,  ,Simbad,32.25971,3.77919
J021021.37+130331.8,21.16,0.09,19.16,0.07,18.26,0.04,17.06,0.02,16.36,0.02,15.74,0.02,15.44,0.04,15.35,0.1,L1.5   ,5.07,       ,  ,Simbad,32.58904,13.05883
J021039.86+002624.3,20.46,0.05,18.48,0.04,17.47,0.02,16.47,0.01,15.82,0.02,15.25,0.01,14.91,0.03,14.7,0.06,L0.5   ,3.69,L1.5:  ,6,Simbad,32.66608,0.44008
J021047.20+035338.1,21.34,0.09,19.31,0.07,18.43,0.04,17.36,0.03,16.88,0.04,16.29,0.04,16.04,0.05,15.85,0.14,L0     ,5.56,       ,  ,Simbad,32.69667,3.89392
J021121.16+025411.9,20.85,0.06,18.83,0.05,17.82,0.03,16.77,0.02,16.06,0.02,15.46,0.02,15.17,0.04,14.9,0.07,L1     ,4.01,       ,  ,Simbad,32.83817,2.90331
J021128.23+141003.6,20.12,0.05,18.16,0.04,17.24,0.02,16.14,0.01,15.44,0.01,14.89,0.01,14.58,0.03,14.38,0.05,L1     ,3.01,L0     ,4,Simbad,32.86762,14.16767
J021136.92+041218.9,21.53,0.14,19.76,0.14,18.75,0.05,17.4,0.03,16.63,0.03,15.94,0.02,15.51,0.04,15.32,0.1,L3     ,6.21,       ,  ,Simbad,32.90383,4.20525
J021242.39+034101.2,18.69,0.02,16.57,0.02,15.72,0.01,14.57,0.01,13.95,0.01,13.43,0.01,13.12,0.02,12.87,0.03,L0.5   ,5.21,       ,  ,Simbad,33.17662,3.68367
J021250.51+002411.8,20.71,0.06,18.69,0.05,17.69,0.02,16.65,0.01,16.04,0.02,15.57,0.02,15.27,0.04,14.97,0.07,L0     ,6.4,L1:    ,6,Simbad,33.21046,0.40328
J021608.54+061931.1,21.29,0.16,19.52,0.11,18.52,0.04,17.39,0.02,16.79,0.03,16.18,0.03,15.97,0.05,15.87,0.13,L0.5   ,6.15,       ,  ,Simbad,34.03558,6.32531
J021642.96+004005.7,21.78,0.15,19.5,0.1,18.41,0.05,17.3,0.03,16.96,0.04,16.51,0.04,15.96,0.05,15.75,0.13,L0p    ,32.43,       ,  ,Simbad,34.179,0.66825
J021820.03+011835.0,20.9,0.06,18.87,0.05,18.09,0.04,17.09,0.02,16.49,0.03,15.92,0.03,15.61,0.04,15.28,0.09,L0     ,3.93,       ,  ,Simbad,34.58346,1.30972
J021904.48+014237.1,21.3,0.09,19.41,0.09,18.58,0.05,17.27,0.03,16.5,0.03,15.83,0.02,15.45,0.04,15.34,0.09,L2.5   ,8.47,       ,  ,Simbad,34.76867,1.71031
J021922.04+050630.7,19.08,0.02,17.03,0.02,16.02,0.01,14.85,0.01,14.09,0.01,13.45,0.01,12.95,0.02,12.63,0.03,L3     ,3.67,L1     ,15,Simbad,34.84183,5.10853
J022101.23+023143.4,20.63,0.05,18.48,0.05,17.47,0.02,16.09,0.01,15.23,0.01,14.44,0.01,13.89,0.03,13.5,0.03,L5     ,6.19,       ,  ,Simbad,35.25512,2.52872
J022259.49+043333.7,21.16,0.1,19.28,0.09,18.46,0.03,17.31,0.03,16.49,0.02,15.85,0.02,15.6,0.04,15.34,0.09,L1.5   ,8.82,       ,  ,Simbad,35.74787,4.55936
J022306.75+031833.2,24.22,0.57,20.15,0.15,18.4,0.04,17.26,0.02,17.01,0.04,17.15,0.07,16.27,0.06,15.12,0.08,T3.5   ,10.64,       ,  ,Simbad,35.77812,3.30922
J022325.46+064316.8,20.75,0.06,19.12,0.07,18.09,0.03,16.95,0.02,16.14,0.02,15.47,0.02,15.08,0.03,14.83,0.07,L2     ,16.57,       ,  ,Simbad,35.85608,6.72133
J022349.53+010351.3,21.24,0.12,19.23,0.07,18.26,0.04,17.12,0.02,16.51,0.03,15.93,0.03,15.77,0.05,15.57,0.1,L0.5   ,8,       ,  ,Simbad,35.95637,1.06425
J022446.99+065415.6,19.17,0.03,17.37,0.03,16.22,0.01,15.22,0.01,14.55,0.01,13.97,0.01,13.63,0.03,13.3,0.03,L1     ,13.14,       ,  ,Simbad,36.19579,6.90433
J022524.93+071859.6,20.46,0.08,18.67,0.16,17.67,0.02,16.65,0.01,16.1,0.02,15.59,0.02,15.17,0.03,14.9,0.07,L0     ,7.15,       ,  ,Simbad,36.35387,7.31656
J022629.65+012723.9,20.79,0.06,18.83,0.05,17.88,0.03,16.72,0.02,15.98,0.02,15.37,0.02,15.04,0.03,14.79,0.06,L1.5   ,2.87,       ,  ,Simbad,36.62354,1.45664
J022710.58+005536.4,21.59,0.13,19.69,0.1,18.91,0.07,17.49,0.03,16.79,0.03,16.16,0.03,15.68,0.04,15.39,0.09,L2.5   ,5.68,       ,  ,Simbad,36.79408,0.92678
J022927.96-005328.5,21.04,0.08,18.84,0.06,17.81,0.03,16.61,0.02,15.81,0.02,15.15,0.02,14.69,0.03,14.34,0.05,L3.5   ,5.53,       ,  ,Simbad,37.3665,-0.89125
J023040.40+020521.1,23.32,0.52,20.42,0.17,18.25,0.04,16.88,0.02,17.16,0.05,17.04,0.07,17,0.11,15.05,0.07,T5p    ,27.33,       ,  ,Simbad,37.66833,2.08919
J023040.64+071807.6,20.71,0.11,18.97,0.11,17.99,0.03,16.86,0.02,16.19,0.02,15.61,0.02,15.25,0.04,14.94,0.08,L1     ,3.26,       ,  ,Simbad,37.66933,7.30211
J023048.01-002559.8,21.73,0.13,19.49,0.09,18.89,0.07,17.35,0.03,16.63,0.04,16.07,0.04,15.48,0.04,15.43,0.09,L3     ,15.72,       ,  ,Simbad,37.70004,-0.43328
J023158.02+055723.5,21.17,0.09,19.11,0.06,18.22,0.03,17.3,0.02,16.59,0.03,15.99,0.02,15.68,0.05,15.6,0.13,L0     ,5.52,       ,  ,Simbad,37.99175,5.95653
J023216.79+031406.5,21.88,0.16,19.6,0.09,18.6,0.04,17.37,0.04,16.39,0.02,15.72,0.02,15.31,0.04,14.98,0.07,L4     ,7.97,       ,  ,Simbad,38.06996,3.23514
J023459.12+050854.2,20.33,0.08,18.59,0.06,17.6,0.02,16.58,0.02,15.92,0.02,15.4,0.02,15.1,0.04,14.72,0.06,L0     ,7.04,       ,  ,Simbad,38.74633,5.14839
J023525.97+034110.9,21.07,0.08,19.21,0.07,18.12,0.03,17.11,0.02,16.38,0.02,15.85,0.02,15.48,0.04,15.29,0.1,L1     ,5.41,       ,  ,Simbad,38.85821,3.68636
J023811.88+051509.2,20.29,1.08,18.28,0.04,17.37,0.02,16.36,0.01,15.65,0.01,15.1,0.01,14.85,0.03,14.66,0.06,L0     ,4.13,       ,  ,Simbad,39.5495,5.25256
J023909.14+002248.7,21.58,0.13,19.56,0.11,18.59,0.06,17.43,0.04,16.8,0.05,16.16,0.04,15.79,0.04,15.59,0.11,L1.5   ,1.28,       ,  ,Simbad,39.78808,0.38019
J023930.43+031850.1,21.33,0.12,19.14,0.1,18.46,0.04,17.46,0.04,16.81,0.03,16.28,0.03,15.91,0.05,15.57,0.12,L0     ,4.59,       ,  ,Simbad,39.87679,3.31392
J024114.85+042047.4,21.06,0.08,19.01,0.06,18.09,0.03,16.99,0.02,16.23,0.03,15.72,0.03,15.53,0.04,15.13,0.09,L1     ,6.99,       ,  ,Simbad,40.31187,4.3465
J024610.23+015644.2,22.02,0.13,19.12,0.05,18.04,0.03,16.85,0.02,15.87,0.02,15.09,0.01,14.29,0.03,13.69,0.04,L8     ,10.16,       ,  ,Simbad,41.54262,1.94561
J024753.77+031203.5,21.39,0.1,19.61,0.09,18.56,0.05,17.36,0.03,16.45,0.03,15.8,0.02,15.44,0.04,15.17,0.1,L3     ,9.63,       ,  ,Simbad,41.97404,3.20097
J024844.72+064601.4,19.84,0.04,17.85,0.03,16.96,0.01,15.91,0.01,15.21,0.01,14.69,0.01,14.41,0.03,14.18,0.04,L0.5   ,2.54,       ,  ,Simbad,42.18633,6.76706
J025000.63+030932.5,20.8,0.06,18.7,0.04,17.75,0.03,16.73,0.02,16.07,0.02,15.5,0.02,15.18,0.03,14.9,0.07,L0.5   ,3.36,       ,  ,Simbad,42.50262,3.15903
J025030.03+033249.0,21.42,0.13,19.38,0.1,18.62,0.05,17.45,0.03,16.79,0.03,16.28,0.04,16.03,0.05,15.99,0.16,L0     ,5.2,       ,  ,Simbad,42.62512,3.54694
J025331.48+023851.3,20.49,0.05,18.46,0.03,17.52,0.02,16.51,0.01,15.9,0.01,15.38,0.02,15.03,0.03,14.88,0.07,L0     ,3.61,       ,  ,Simbad,43.38117,2.64758
J025404.64+064539.7,20.95,0.11,18.97,0.07,18.1,0.03,17.11,0.02,16.45,0.02,15.95,0.03,15.68,0.04,15.41,0.1,L0     ,1.84,       ,  ,Simbad,43.51933,6.76103
J025409.58+022358.7,23.7,0.49,19.41,0.07,17,0.01,15.92,0.01,16.29,0.02,16.73,0.05,15.81,0.05,12.76,0.03,T8p    ,42.15,T8     ,6,Simbad,43.53992,2.39964
J025504.84+005620.0,21.42,0.12,19.59,0.08,18.73,0.05,17.45,0.03,16.69,0.02,16.12,0.03,15.77,0.04,15.32,0.1,L2     ,6.23,       ,  ,Simbad,43.77017,0.93889
J025910.16+062420.5,20.58,0.07,18.67,0.05,17.68,0.02,16.63,0.01,16.04,0.02,15.41,0.02,15.22,0.04,14.88,0.07,L0.5   ,5.11,       ,  ,Simbad,44.79233,6.40569
J030027.77+051354.2,21.59,0.13,19.35,0.08,18.55,0.05,17.3,0.03,16.58,0.03,16.13,0.04,15.71,0.04,15.65,0.11,L1.5   ,10.08,       ,  ,Simbad,45.11571,5.23172
J030152.39+063646.4,20.72,0.08,18.81,0.07,17.97,0.03,16.97,0.02,16.24,0.02,15.7,0.02,15.55,0.04,15.33,0.09,L0     ,7.67,       ,  ,Simbad,45.46829,6.61289
J030224.81+043453.4,21.22,0.09,19.44,0.07,18.4,0.04,17.45,0.02,16.86,0.03,16.32,0.03,15.95,0.05,16.01,0.16,L0     ,9.19,       ,  ,Simbad,45.60337,4.5815
J030424.92-002057.8,21.1,0.08,19.17,0.07,18.17,0.03,17.1,0.03,16.49,0.02,15.89,0.02,15.65,0.04,15.22,0.08,L0.5   ,3.82,       ,  ,Simbad,46.10383,-0.34939
J030749.36+051652.7,21.06,0.1,18.91,0.07,18.03,0.03,16.8,0.02,15.9,0.01,15.18,0.01,14.82,0.03,14.64,0.06,L3     ,10.29,       ,  ,Simbad,46.95567,5.28131
J031341.90+044259.3,21.03,0.11,19.38,0.09,18.32,0.03,17.12,0.02,16.31,0.02,15.67,0.02,15.3,0.04,15.08,0.07,L2.5   ,10.05,       ,  ,Simbad,48.42458,4.71647
J031451.72+045346.2,22,1.03,19.83,0.12,18.59,0.05,17.3,0.02,16.39,0.02,15.59,0.02,14.84,0.03,14.4,0.05,L7.5   ,2.8,L5.5   ,29,Simbad,48.7155,4.89617
J031740.37+061303.3,20.58,0.07,18.48,0.05,17.48,0.02,16.34,0.01,15.65,0.01,14.99,0.01,14.69,0.03,14.5,0.06,L1.5   ,7.97,L3     ,7,Simbad,49.41821,6.21758
J032047.31+051159.2,20.86,0.07,18.76,0.06,17.96,0.03,16.96,0.02,16.36,0.02,15.83,0.02,15.38,0.04,15.06,0.08,L0     ,8.69,       ,  ,Simbad,50.19712,5.19978
J032104.87-004852.3,21.32,0.08,19.32,0.07,18.41,0.04,17.48,0.02,16.88,0.04,16.38,0.04,15.94,0.05,15.59,0.11,L0     ,7.64,       ,  ,Simbad,50.27029,-0.81453
J032143.05+054524.3,22.05,0.25,19.54,0.11,18.56,0.05,17.33,0.03,16.61,0.02,15.97,0.02,15.42,0.04,15.14,0.09,L3     ,4.87,L5.5   ,29,Simbad,50.42937,5.75675
J032254.08+054639.4,21.81,0.16,19.72,0.1,18.73,0.06,17.47,0.03,16.72,0.03,15.96,0.03,15.45,0.04,15.25,0.1,L3.5   ,1.69,       ,  ,Simbad,50.72533,5.77761
J032553.12+042540.1,24.92,0.49,19.17,0.08,17.17,0.01,16,0.01,16.26,0.02,16.52,0.04,15.89,0.05,13.81,0.04,T6p    ,20.04,T5.5   ,4,Simbad,51.47133,4.42781
J032641.80+044715.7,21.37,0.09,19.5,0.08,18.72,0.05,17.45,0.03,16.54,0.03,15.86,0.02,15.49,0.04,15.3,0.1,L2.5   ,14.27,       ,  ,Simbad,51.67417,4.78769
J032710.69+055102.1,21.35,0.13,19.06,0.08,18.13,0.04,16.84,0.02,16.01,0.01,15.41,0.02,14.81,0.03,14.22,0.05,L4     ,16.5,       ,  ,Simbad,51.79454,5.85058
J032731.60+050844.7,19.3,0.05,17.64,0.03,16.57,0.01,15.33,0.01,14.58,0.01,13.94,0.01,     ,     ,     ,     ,L2.5:  ,19.04,       ,  ,Simbad,51.88167,5.14575
J032817.46+003257.4,20.21,0.04,18.33,0.04,17.31,0.02,15.94,0.01,15.01,0.01,14.2,0.01,13.66,0.03,13.32,0.03,L4.5p  ,27.56,L3     ,5,Simbad,52.07275,0.54928
J033035.30-002537.1,19.81,0.03,17.47,0.02,16.51,0.01,15.21,0.01,14.49,0.01,13.77,0.01,13.3,0.03,13.03,0.03,L3.5   ,15.53,L4     ,5,Simbad,52.64708,-0.42697
J033036.84+042657.7,21.77,0.15,19.45,0.1,18.62,0.04,17.29,0.02,16.44,0.02,15.75,0.02,15.21,0.04,14.82,0.07,L4     ,1.65,L4     ,29,Simbad,52.6535,4.44936
J033044.78+010828.3,20.66,0.28,18.38,0.46,17.23,0.01,16.23,0.01,15.56,0.01,15.01,0.01,     ,     ,     ,     ,L0.5:  ,4.34,       ,  ,Simbad,52.68658,1.14119
J033202.87+052415.3,21.05,0.09,18.89,0.06,17.99,0.03,16.98,0.02,16.29,0.02,15.74,0.02,15.49,0.05,15.29,0.1,L0.5   ,4.47,       ,  ,Simbad,53.01196,5.40425
J033320.71-002005.7,21.49,0.1,19.29,0.08,18.44,0.03,17.41,0.02,16.79,0.02,16.19,0.03,15.91,0.06,15.62,0.14,L0.5   ,2.88,       ,  ,Simbad,53.33629,-0.33492
J033536.16+004746.9,20.67,0.06,18.66,0.05,17.58,0.02,16.5,0.01,15.79,0.02,15.23,0.01,14.88,0.04,14.59,0.06,L1.5   ,6.11,M9     ,6,Simbad,53.90067,0.79636
J033611.97+040739.3,19.95,0.05,17.86,0.04,17.01,0.01,16.05,0.01,15.44,0.01,14.91,0.01,14.58,0.03,14.28,0.05,L0     ,5.02,       ,  ,Simbad,54.04987,4.12758
J033820.93+043800.5,21.26,0.12,19.46,0.13,18.53,0.04,17.5,0.03,16.93,0.03,16.3,0.03,     ,     ,     ,     ,L0:    ,2.67,       ,  ,Simbad,54.58721,4.63347
J034130.82+042542.7,21.65,0.19,19.39,0.11,18.56,0.04,17.37,0.02,16.74,0.02,16.1,0.03,15.83,0.06,15.55,0.13,L1     ,2.82,       ,  ,Simbad,55.37842,4.42853
J034150.21+042324.9,21.54,0.17,19.25,0.09,18.29,0.03,16.85,0.02,15.95,0.01,15.2,0.01,14.52,0.03,14.18,0.05,L5.5   ,2.82,L5     ,29,Simbad,55.45921,4.39025
J034304.86-000604.0,20.91,0.07,18.74,0.05,17.73,0.02,16.6,0.01,15.84,0.01,15.19,0.01,14.59,0.03,14.23,0.05,L3     ,9.41,M9     ,6,Simbad,55.77025,-0.10111
J034353.69+042542.2,21.23,0.12,19.41,0.11,18.46,0.04,17.43,0.02,16.74,0.02,16.17,0.03,16.02,0.06,15.61,0.14,L0     ,4.09,       ,  ,Simbad,55.97371,4.42839
J034408.88+011123.9,18.78,0.02,16.72,0.02,15.7,0.01,14.55,0.01,13.95,0.01,13.45,0.01,13.1,0.02,12.78,0.03,L1     ,13.28,L1     ,7,Simbad,56.037,1.18997
J034601.03-010653.7,21.28,0.09,19.17,0.06,18.23,0.04,17.09,0.02,16.44,0.02,15.94,0.03,15.55,0.05,15.3,0.1,L1     ,3.83,       ,  ,Simbad,56.50429,-1.11492
J035448.55-002742.2,21.04,0.08,18.88,0.05,18.1,0.03,17.14,0.02,16.51,0.02,15.93,0.03,15.05,     ,15.41,0.1,L0     ,5.2,L2     ,15,Simbad,58.70229,-0.46172
