ULAS,imag,e_imag,zmag,e_zmag,Ymag,e_Ymag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,W1mag,e_W1mag,W2mag,e_W2mag,PhType,chi2,SpType,Ref,Simbad,_RA,_DE
J094419.56+321605.2,22.12,0.2,19.59,0.09,18.61,0.04,17.19,0.02,16.08,0.01,15.15,0.01,14.24,0.03,13.69,0.03,L7p    ,106.94,       ,  ,Simbad,146.0815,32.26811
J094510.05+112238.8,21.4,0.1,19.32,0.08,18.43,0.03,17.38,0.01,16.65,0.03,16.09,0.02,15.74,0.05,15.57,0.13,L1     ,1.44,       ,  ,Simbad,146.29187,11.37744
J094522.12+331100.3,21.03,0.1,19.01,0.07,18.16,0.03,17.04,0.02,16.45,0.02,15.97,0.02,15.64,0.05,15.5,0.12,L0     ,3.48,       ,  ,Simbad,146.34217,33.18342
J094750.43+100802.0,19.96,0.03,18,0.03,17.08,0.01,16.08,0.01,15.43,0.01,14.9,0.01,14.72,0.03,14.58,0.06,L0     ,12.25,L0:    ,6,Simbad,146.96012,10.13389
J094750.55+061712.6,18.3,0.02,16.27,0.02,15.39,0.01,14.39,0.01,13.73,0.01,13.16,0.01,12.9,0.02,12.67,0.03,L0     ,1.26,M9     ,3,Simbad,146.96062,6.28683
J094756.67-011435.8,21.54,0.15,19.59,0.11,18.57,0.06,17.4,0.03,16.72,0.03,16.04,0.03,15.71,0.05,15.33,0.1,L2     ,1.72,       ,  ,Simbad,146.98612,-1.24328
J094757.35-004501.8,20.86,0.07,18.75,0.05,17.92,0.03,16.88,0.02,16.27,0.02,15.67,0.02,15.35,0.04,15.02,0.08,L0.5   ,2.62,       ,  ,Simbad,146.98896,-0.7505
J094915.24+090619.0,21.29,0.23,19.21,0.27,18.02,0.03,16.97,0.01,16.3,0.02,15.69,0.02,15.24,0.04,15.03,0.09,L1.5   ,5.77,       ,  ,Simbad,147.3135,9.10528
J094926.29+120304.5,21.3,0.1,19.15,0.08,18.33,0.03,17.1,0.02,16.38,0.02,15.85,0.02,15.52,0.05,15.39,0.11,L1.5   ,5.91,       ,  ,Simbad,147.35954,12.05125
J094936.26-001528.8,19.81,0.03,17.68,0.03,16.8,0.01,15.71,0.01,15.07,0.01,14.54,0.01,14.23,0.03,13.97,0.04,L0.5   ,3.94,L1:    ,6,Simbad,147.40108,-0.258
J094942.70+075114.7,21.31,0.14,19.36,0.1,18.31,0.03,17.23,0.01,16.66,0.02,16.1,0.02,15.8,0.05,15.52,0.12,L0.5   ,3.97,       ,  ,Simbad,147.42792,7.85408
J094954.77+040248.4,21.21,0.1,19.3,0.09,18.38,0.03,17.45,0.02,16.79,0.03,16.19,0.03,15.95,0.05,15.85,0.17,L0     ,4.45,       ,  ,Simbad,147.47821,4.04678
J095030.45+004107.7,20.78,0.08,18.85,0.06,17.93,0.03,16.76,0.01,16.04,0.01,15.46,0.02,15.12,0.04,15.01,0.08,L1.5   ,5.02,L1:    ,6,Simbad,147.62687,0.68547
J095106.61+055746.7,20.79,0.06,18.78,0.06,17.95,0.02,16.78,0.02,16.09,0.01,15.51,0.02,15.15,0.04,14.9,0.08,L1.5   ,1.8,L2:    ,6,Simbad,147.77754,5.96297
J095106.69+341001.9,21.83,0.33,19.51,0.15,18.56,0.06,17.36,0.02,16.71,0.03,16.11,0.03,15.67,0.05,15.42,0.1,L2     ,2.92,       ,  ,Simbad,147.77787,34.16719
J095130.39+060226.5,21.19,0.09,19.42,0.09,18.3,0.02,17.37,0.02,16.71,0.02,16.18,0.03,15.57,0.05,15.51,0.12,L0.5   ,19.96,       ,  ,Simbad,147.87662,6.04069
J095207.27-030111.4,21.49,0.18,19.51,0.14,18.99,0.07,17.48,0.03,16.7,0.02,16.04,0.02,     ,     ,     ,     ,L3:    ,11.55,       ,  ,Simbad,148.03029,-3.01983
